id;nombre_cliente;telefono;email;direccion_envio;fecha;estado;mp_payment_id;mp_status
9973;María José Suárez;+57 311 727 5784;maria.suarez283@outlook.com;Transversal 92 #30-20, Belén, Medellín;2023-09-18 14:49:00;aprobado;22220236846;approved
1535;Paula Mendoza;+57 302 901 4870;paula.mendoza986@outlook.com;Transversal 120 #94-9, La Candelaria, Medellín;2024-10-16 16:43:00;pendiente;Sin procesar;Sin procesar
120;Valentina García;+57 316 685 3890;valentina.garcia622@outlook.com;Cl 87 #98-34, Aranjuez, Medellín;2022-12-25 09:23:00;aprobado;59450898327;approved
6116;Santiago Martínez;+57 301 538 1447;santiago.martinez301@yahoo.com;Cl 1 #95-41, Girardota, Medellín;2024-03-17 11:59:00;aprobado;18132167780;approved
8000;Cristian Muñoz;+57 300 509 7545;cristian.muñoz110@gmail.com;Av 114 #93-12, San Javier, Medellín;2023-12-28 08:06:00;aprobado;37883125789;approved
6730;Camila López;+57 301 702 4376;camila.lopez384@yahoo.com;Av 55 #24-35, Manrique, Medellín;2022-11-08 15:42:00;aprobado;27874942239;approved
7028;Daniel Reyes;+57 304 928 2341;daniel.reyes885@yahoo.com;Cl 86 #55-13, La Candelaria, Medellín;2022-07-31 19:46:00;pendiente;Sin procesar;pending
3759;Julián Ortiz;+57 301 260 4326;julian.ortiz19@hotmail.com;Cra 111 #7-25, Castilla, Medellín;2024-12-11 12:44:00;aprobado;53902190351;approved
847;Alejandro Ruiz;+57 305 145 4563;alejandro.ruiz328@gmail.com;Cl 6 #1-4, La América, Medellín;2023-03-11 12:30:00;aprobado;95506278989;approved
8050;Sebastián Rodríguez;+57 310 541 1082;sebastian.rodriguez340@yahoo.com;Av 96 #76-34, Caldas, Medellín;2024-02-01 11:41:00;aprobado;88211497480;approved
4138;Isabella Hernández;+57 320 855 7161;isabella.hernandez495@outlook.com;Transversal 120 #65-2, Itagüí, Medellín;2023-07-16 19:08:00;pendiente;Sin procesar;pending
3117;Sara Álvarez;+57 316 678 8127;sara.alvarez769@outlook.com;Transversal 100 #50-26, Caldas, Medellín;2023-11-07 11:11:00;pendiente;Sin procesar;pending
8402;Sara Álvarez;+57 312 884 4344;sara.alvarez566@gmail.com;Cl 29 #6-35, Aranjuez, Medellín;2023-08-21 08:40:00;pendiente;Sin procesar;Sin procesar
845;Cristian Muñoz;+57 315 338 1059;cristian.muñoz996@yahoo.com;Av 11 #91-36, Manrique, Medellín;2022-10-01 14:57:00;pendiente;Sin procesar;Sin procesar
6480;Sofía Torres;+57 302 736 5271;sofia.torres508@hotmail.com;Diagonal 24 #23-13, Girardota, Medellín;2024-10-01 19:11:00;aprobado;48745103152;approved
9959;Mateo González;+57 304 121 6376;mateo.gonzalez103@hotmail.com;Cra 78 #13-25, San Javier, Medellín;2022-12-02 09:52:00;rechazado;27367731235;rejected
9825;Samuel Díaz;+57 300 018 5132;samuel.diaz492@outlook.com;Cl 40 #43-31, Sabaneta, Medellín;2023-05-15 08:34:00;aprobado;85709475261;approved
4703;Natalia Vega;+57 310 147 5410;natalia.vega883@hotmail.com;Cl 41 #19-25, Doce de Octubre, Medellín;2024-06-09 21:04:00;aprobado;68316391109;approved
8634;Salomé Jiménez;+57 314 313 5030;salome.jimenez372@outlook.com;Cl 118 #15-4, Guayabal, Medellín;2024-01-10 21:54:00;pendiente;Sin procesar;Sin procesar
6899;Gabriela Pérez;+57 304 330 2126;gabriela.perez751@gmail.com;Diagonal 48 #7-45, Envigado, Medellín;2022-06-01 15:53:00;pendiente;Sin procesar;pending
179;Esteban Ramos;+57 311 678 4984;esteban.ramos727@hotmail.com;Diagonal 120 #21-18, Belén, Medellín;2024-12-04 14:08:00;aprobado;93324093923;approved
9164;Santiago Martínez;+57 314 177 5662;santiago.martinez56@yahoo.com;Diagonal 25 #35-7, Envigado, Medellín;2022-06-09 13:38:00;pendiente;Sin procesar;pending
1071;Samuel Díaz;+57 304 904 3830;samuel.diaz247@yahoo.com;Cra 73 #73-3, Girardota, Medellín;2024-09-17 08:03:00;pendiente;Sin procesar;pending
4627;Tomás Vargas;+57 311 835 6521;tomas.vargas340@outlook.com;Transversal 13 #65-50, Sabaneta, Medellín;2022-02-18 17:50:00;pendiente;Sin procesar;Sin procesar
1229;Samuel Díaz;+57 302 971 0248;samuel.diaz889@gmail.com;Diagonal 13 #59-21, Itagüí, Medellín;2023-08-29 10:04:00;pendiente;Sin procesar;Sin procesar
7549;Nicolás Moreno;+57 305 747 2197;nicolas.moreno41@yahoo.com;Av 52 #53-40, Sabaneta, Medellín;2024-06-21 13:32:00;pendiente;Sin procesar;Sin procesar
4307;Camila López;+57 320 090 3802;camila.lopez874@gmail.com;Av 49 #21-37, San Javier, Medellín;2022-05-30 11:24:00;aprobado;21463914380;approved
7617;Nicolás Moreno;+57 301 121 6636;nicolas.moreno337@gmail.com;Av 44 #78-32, Robledo, Medellín;2024-02-09 09:17:00;aprobado;83178865413;approved
9345;María José Suárez;+57 311 089 3199;maria.suarez149@yahoo.com;Av 2 #20-30, Sabaneta, Medellín;2024-10-19 21:20:00;aprobado;68729147924;approved
2044;Tomás Vargas;+57 316 776 6558;tomas.vargas437@yahoo.com;Cra 119 #23-30, Castilla, Medellín;2024-02-04 10:35:00;rechazado;68165723662;rejected
7168;Salomé Jiménez;+57 315 491 1110;salome.jimenez632@outlook.com;Cra 64 #96-49, Caldas, Medellín;2022-07-24 18:28:00;pendiente;Sin procesar;Sin procesar
7449;Julián Ortiz;+57 313 613 7157;julian.ortiz423@outlook.com;Cra 48 #29-33, Buenos Aires, Medellín;2023-07-03 22:42:00;aprobado;69740150574;approved
6793;Andrés Herrera;+57 300 002 5895;andres.herrera344@hotmail.com;Transversal 56 #31-36, San Javier, Medellín;2023-01-30 17:41:00;pendiente;Sin procesar;pending
6397;Diego Cardona;+57 316 265 8263;diego.cardona102@hotmail.com;Transversal 16 #81-37, San Javier, Medellín;2023-06-17 21:35:00;rechazado;57024309757;rejected
6195;Sofía Torres;+57 317 404 1209;sofia.torres888@gmail.com;Cra 59 #77-8, Envigado, Medellín;2022-10-18 12:16:00;aprobado;18988409384;approved
3408;Daniel Reyes;+57 311 170 6171;daniel.reyes216@outlook.com;Diagonal 114 #41-41, Doce de Octubre, Medellín;2022-11-26 10:19:00;aprobado;35355932867;approved
516;Andrés Herrera;+57 301 557 9980;andres.herrera163@yahoo.com;Cra 25 #78-2, Copacabana, Medellín;2022-02-17 16:32:00;aprobado;24452095284;approved
3601;Natalia Vega;+57 301 244 7315;natalia.vega726@yahoo.com;Diagonal 96 #64-28, Bello, Medellín;2024-03-30 22:12:00;pendiente;Sin procesar;pending
4606;Sofía Torres;+57 311 199 4237;sofia.torres444@outlook.com;Diagonal 77 #96-18, La América, Medellín;2022-09-08 17:24:00;aprobado;88167205519;approved
1053;Nicolás Moreno;+57 312 208 4964;nicolas.moreno619@yahoo.com;Diagonal 4 #15-12, La América, Medellín;2024-05-29 20:11:00;aprobado;19643568012;approved
5152;Sofía Torres;+57 301 050 5379;sofia.torres815@yahoo.com;Cl 72 #9-25, Buenos Aires, Medellín;2023-11-03 16:13:00;aprobado;46769037649;approved
1226;María José Suárez;+57 314 665 5330;maria.suarez822@outlook.com;Diagonal 6 #36-27, Envigado, Medellín;2022-09-12 15:10:00;aprobado;64078668083;approved
9434;Samuel Díaz;+57 300 742 6088;samuel.diaz41@yahoo.com;Cra 9 #61-7, Castilla, Medellín;2023-09-09 12:20:00;aprobado;20309400456;approved
772;Juan Pablo Gómez;+57 311 477 1591;juan.gomez30@hotmail.com;Cra 106 #2-9, Envigado, Medellín;2023-10-24 21:44:00;aprobado;32446964775;approved
6044;Camila López;+57 318 800 4010;camila.lopez970@yahoo.com;Cra 34 #43-45, Caldas, Medellín;2024-02-17 12:44:00;pendiente;Sin procesar;pending
3374;Nicolás Moreno;+57 316 117 0303;nicolas.moreno480@outlook.com;Cl 63 #14-22, Robledo, Medellín;2024-12-16 16:54:00;aprobado;97849355410;approved
4371;Samuel Díaz;+57 300 787 5418;samuel.diaz87@yahoo.com;Diagonal 28 #20-26, Bello, Medellín;2024-01-06 16:21:00;pendiente;Sin procesar;Sin procesar
